RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Abwasserverband Lechtal;20124;4;1;;
Abwasserverband Leiblachtal;20124;2;1;;
Abwasserverband Leiblachtal;20124;4;1;;
Abwasserverband Leibnitzerfeld-Süd;20124;2;1;;
Abwasserverband Leibnitzerfeld-Süd;20124;4;1;;
Abwasserverband Leibnitz-Wagna-Kaindorf;20124;2;1;;
Abwasserverband Leibnitz-Wagna-Kaindorf;20124;4;1;;
Abwasserverband Liebochtal;20124;2;1;;
Abwasserverband Liebochtal;20124;4;1;;
Abwasserverband Lienzer Talboden;20124;2;1;;
Abwasserverband Lienzer Talboden;20124;4;1;;
Abwasserverband Mariazellerland;20124;2;1;;
Abwasserverband Mariazellerland;20124;4;1;;
Abwasserverband Mittlere Enns;20124;2;1;;
Abwasserverband Mittlere Enns;20124;4;1;;
Abwasserverband Mittlerer Gnasbach;20124;2;1;;
Abwasserverband Mittlerer Gnasbach;20124;4;1;;
Abwasserverband Mittleres Burgenland;20124;2;1;;
Abwasserverband Mittleres Burgenland;20124;4;1;;
Abwasserverband Mittleres Feistritztal;20124;2;1;;
Abwasserverband Mittleres Feistritztal;20124;4;1;;
Abwasserverband Mittleres Kainachtal mit Södingtal;20124;2;1;;
Abwasserverband Mittleres Kainachtal mit Södingtal;20124;4;1;;
Abwasserverband Mittleres Laßnitztal;20124;2;1;;
Abwasserverband Mittleres Laßnitztal;20124;4;1;;
Abwasserverband Mittleres Pinka- und Zickental;20124;2;1;;
Abwasserverband Mittleres Pinka- und Zickental;20124;4;1;;
Abwasserverband Mittleres Schwarzatal;20124;2;1;;
Abwasserverband Mittleres Schwarzatal;20124;4;1;;
Abwasserverband Mittleres Steyrtal   ;20124;2;1;;
Abwasserverband Mittleres Steyrtal   ;20124;4;1;;
Abwasserverband Mittleres Strem- u. Zickenbachtal;20124;2;1;;
Abwasserverband Mittleres Strem- u. Zickenbachtal;20124;4;1;;
Abwasserverband Mittleres Stremtal;20124;2;1;;
Abwasserverband Mittleres Stremtal;20124;4;1;;
Abwasserverband Montafon;20124;2;1;;
Abwasserverband Montafon;20124;4;1;;
Abwasserverband Nördliches Liebochtal;20124;2;1;;
Abwasserverband Nördliches Liebochtal;20124;4;1;;
Abwasserverband Oberer Mödlingbach;20124;2;1;;
Abwasserverband Oberer Mödlingbach;20124;4;1;;
Abwasserverband Oberes Feistritztal;20124;2;1;;
Abwasserverband Oberes Feistritztal;20124;4;1;;
Abwasserverband Oberes Lafnitztal;20124;2;1;;
Abwasserverband Oberes Lafnitztal;20124;4;1;;
Abwasserverband Oberes Lavanttal;20124;2;1;;
Abwasserverband Oberes Lavanttal;20124;4;1;;
Abwasserverband Oberes Mölltal;20124;2;1;;
Abwasserverband Oberes Mölltal;20124;4;1;;
Abwasserverband Oberes Mürztal;20124;2;1;;
Abwasserverband Oberes Mürztal;20124;4;1;;
Abwasserverband Oberes Perschlingtal;20124;2;1;;
Abwasserverband Oberes Perschlingtal;20124;4;1;;
Abwasserverband Oberes Piestingtal;20124;2;1;;
Abwasserverband Oberes Piestingtal;20124;4;1;;
Abwasserverband Oberes Pinkatal;20124;2;1;;
Abwasserverband Oberes Pinkatal;20124;4;1;;
Abwasserverband Oberes Pölstal;20124;2;1;;
Abwasserverband Oberes Pölstal;20124;4;1;;
Abwasserverband Oberes Pustertal;20124;2;1;;
Abwasserverband Oberes Pustertal;20124;4;1;;
Abwasserverband Oberes Schwarzatal;20124;2;1;;
Abwasserverband Oberes Schwarzatal;20124;4;1;;
Abwasserverband Oberes Stanzertal;20124;2;1;;
Abwasserverband Oberes Stanzertal;20124;4;1;;
Abwasserverband Oberes Stiefingtal;20124;2;1;;
Abwasserverband Oberes Stiefingtal;20124;4;1;;
Abwasserverband Oberes Stremtal;20124;2;1;;
Abwasserverband Oberes Stremtal;20124;4;1;;
Abwasserverband Oberes Sulmtal;20124;2;1;;
Abwasserverband Oberes Sulmtal;20124;4;1;;
Abwasserverband Oberes Wipptal;20124;2;1;;
Abwasserverband Oberes Wipptal;20124;4;1;;
Abwasserverband Oberpaznaun;20124;2;1;;
Abwasserverband Oberpaznaun;20124;4;1;;
Abwasserverband Paltental;20124;2;1;;
Abwasserverband Paltental;20124;4;1;;
Abwasserverband Passailer Becken;20124;2;1;;
Abwasserverband Passailer Becken;20124;4;1;;
Abwasserverband Pielachtal;20124;2;1;;
Abwasserverband Pielachtal;20124;4;1;;
Abwasserverband Piestingtal;20124;2;1;;
Abwasserverband Piestingtal;20124;4;1;;
Abwasserverband Pitztal;20124;2;1;;
Abwasserverband Pitztal;20124;4;1;;
Abwasserverband Prutz und Umgebung;20124;2;1;;
Abwasserverband Prutz und Umgebung;20124;4;1;;
Abwasserverband Raum Anger;20124;2;1;;
Abwasserverband Raum Anger;20124;4;1;;
Abwasserverband Raum Friesach-Althofen;20124;2;1;;
Abwasserverband Raum Friesach-Althofen;20124;4;1;;
Abwasserverband Raum Frohnleiten;20124;2;1;;
Abwasserverband Raum Frohnleiten;20124;4;1;;
Abwasserverband Raum Fürstenfeld;20124;2;1;;
Abwasserverband Raum Fürstenfeld;20124;4;1;;
Abwasserverband Raum Hainburg a.d.Donau;20124;2;1;;
Abwasserverband Raum Hainburg a.d.Donau;20124;4;1;;
Abwasserverband Raum Haus-Aich;20124;2;1;;
Abwasserverband Raum Haus-Aich;20124;4;1;;
Abwasserverband Raum Kirchbach;20124;2;1;;
Abwasserverband Raum Kirchbach;20124;4;1;;
Abwasserverband Raum Korneuburg;20124;2;1;;
Abwasserverband Raum Korneuburg;20124;4;1;;
Abwasserverband Raum Stainz;20124;2;1;;
Abwasserverband Raum Stainz;20124;4;1;;
Abwasserverband Raum Straden;20124;2;1;;
Abwasserverband Raum Straden;20124;4;1;;
Abwasserverband Raum Zeltweg;20124;2;1;;
Abwasserverband Raum Zeltweg;20124;4;1;;
Abwasserverband Region Bezau;20124;2;1;;
Abwasserverband Region Bezau;20124;4;1;;
Abwasserverband Region Bludenz;20124;2;1;;
Abwasserverband Region Bludenz;20124;4;1;;
Abwasserverband Region Feldkirch;20124;2;1;;
Abwasserverband Region Feldkirch;20124;4;1;;
Abwasserverband Region Gnas;20124;2;1;;
Abwasserverband Region Gnas;20124;4;1;;
Abwasserverband Region Hohenems;20124;2;1;;
Abwasserverband Region Hohenems;20124;4;1;;
Abwasserverband Region Walgau;20124;2;1;;
Abwasserverband Region Walgau;20124;4;1;;
Abwasserverband Reither Ache;20124;2;1;;
Abwasserverband Reither Ache;20124;4;1;;
Abwasserverband Rotachtal;20124;2;1;;
Abwasserverband Rotachtal;20124;4;1;;
Abwasserverband Schachendorf-Schandorf;20124;2;1;;
Abwasserverband Schachendorf-Schandorf;20124;4;1;;
Abwasserverband Schwaz und Umgebung;20124;2;1;;
Abwasserverband Schwaz und Umgebung;20124;4;1;;
Abwasserverband Schwechat;20124;2;1;;
Abwasserverband Schwechat;20124;4;1;;
Abwasserverband Seewinkel;20124;2;1;;
Abwasserverband Seewinkel;20124;4;1;;
Abwasserverband Serfaus-Pfunds-Tösens;20124;2;1;;
Abwasserverband Serfaus-Pfunds-Tösens;20124;4;1;;
Abwasserverband Söll-Scheffau-Ellmau;20124;2;1;;
Abwasserverband Söll-Scheffau-Ellmau;20124;4;1;;
Abwasserverband Spielberg-Flatschach;20124;2;1;;
Abwasserverband Spielberg-Flatschach;20124;4;1;;
Abwasserverband Stams und Umgebung;20124;2;1;;
Abwasserverband Stams und Umgebung;20124;4;1;;
